01: 77,13,4,48,66,41,50,32,22,44,18,1,54,24,3,42,25,53,73,52,62,75,9,34,60,21,15,67,2,78,76,40,58,79,19,71,56,47,55,57,46,10,28,84,33,45,6,16,8,23,63,68,69,39,65,37,72,36,17,64,31,70,82,61,29,27,43,81,20,80,30,59,14,12,51,49,38,83,35,7,5,26,74,11,

02: 55,19,26,22,13,72,27,62,52,3,30,76,48,43,42,2,78,70,35,17,16,51,84,37,33,10,77,36,8,23,83,38,53,31,4,81,40,59,18,74,60,7,11,5,21,34,65,64,66,6,14,69,82,9,63,56,1,54,49,75,67,28,61,46,41,79,39,32,44,29,68,15,73,24,80,20,25,12,47,58,50,45,71,57,

03: 72,81,2,34,31,57,64,42,58,35,55,22,6,49,71,74,18,52,43,65,56,1,16,29,50,36,40,47,62,84,44,66,39,38,54,9,83,53,59,70,24,60,69,28,10,3,14,82,21,12,17,19,45,76,5,51,26,15,32,7,80,77,13,79,67,23,46,33,73,41,8,63,61,75,30,4,78,68,20,27,37,25,11,48,

04: 33,7,32,8,9,66,37,68,26,1,84,36,55,20,15,56,46,42,39,75,12,3,31,79,61,48,4,71,21,77,10,43,60,51,70,47,38,19,74,78,50,76,83,67,40,63,34,25,49,18,13,17,29,41,65,69,64,72,6,73,5,27,11,28,2,54,59,24,22,30,14,52,53,35,82,57,62,58,80,16,44,23,45,81,

05: 42,81,62,1,28,37,36,15,49,84,44,57,60,69,65,4,50,7,40,38,59,79,27,74,23,43,54,21,75,14,30,45,77,48,25,2,55,47,61,46,53,24,22,63,41,68,32,67,17,3,35,56,66,34,83,82,80,33,9,11,13,12,76,8,29,10,58,78,71,26,6,52,20,19,39,64,73,70,72,5,16,51,31,18,

06: 84,13,74,21,63,18,83,22,65,51,33,47,76,29,3,15,19,73,44,52,34,14,38,10,8,64,45,59,42,56,41,66,79,43,35,16,7,23,50,62,31,53,54,72,24,39,61,70,82,40,37,57,60,2,5,80,48,17,46,25,58,4,55,77,81,6,67,69,36,27,26,9,11,1,32,20,28,68,71,12,30,78,49,75,

07: 67,79,10,52,69,39,22,34,18,26,53,61,82,81,80,31,46,63,25,11,14,21,78,15,48,57,8,55,24,6,64,74,70,50,30,19,20,65,49,75,77,59,44,4,68,7,27,2,45,29,37,23,83,66,28,72,84,33,38,32,3,71,60,51,62,17,41,73,16,13,58,35,12,42,76,40,47,5,1,54,56,36,43,9,

08: 7,1,46,59,45,29,61,28,12,53,76,34,48,57,26,2,43,42,20,66,36,37,24,51,67,19,33,73,56,10,27,60,82,49,62,55,84,14,78,23,15,31,50,3,22,77,64,69,79,58,80,25,8,65,74,13,9,83,32,63,54,4,71,11,5,16,72,39,68,70,21,47,30,17,38,44,6,40,35,81,41,18,75,52,

09: 59,84,32,65,74,66,30,24,12,1,39,7,27,69,34,42,13,6,76,75,81,43,36,28,48,20,47,49,5,40,55,51,52,78,44,45,3,16,56,41,80,64,70,83,61,25,14,72,11,9,77,60,29,8,67,15,31,33,10,23,50,53,17,22,46,37,68,19,71,79,26,63,35,38,4,57,82,21,62,2,54,18,73,58,

10: 64,35,55,39,32,76,20,34,44,69,7,74,8,30,37,1,36,68,16,45,17,77,56,67,23,10,80,83,40,60,14,13,4,65,63,57,84,71,25,72,5,21,53,54,12,78,49,59,38,47,41,46,31,11,70,3,61,6,79,9,22,82,18,73,66,48,2,51,15,62,58,28,52,24,26,81,75,19,42,33,43,27,50,29,

11: 30,8,50,68,25,63,24,9,2,12,72,29,81,11,15,27,55,44,78,76,34,53,58,54,40,59,14,23,48,3,22,56,45,51,77,75,19,52,67,82,62,26,41,31,18,5,1,64,70,80,49,20,61,4,74,33,65,79,10,57,69,73,83,46,71,43,35,17,36,28,60,21,37,32,66,42,38,13,16,7,47,84,6,39,

12: 60,20,62,4,69,73,33,1,28,13,18,72,15,76,27,42,3,79,34,71,31,54,46,82,26,51,10,61,63,47,70,68,55,7,2,77,48,30,12,52,35,37,6,49,75,23,5,32,16,29,83,80,9,74,84,38,11,65,44,66,39,57,8,36,40,50,24,81,64,56,53,19,58,78,67,41,59,21,17,45,14,43,22,25,

13: 66,7,72,82,69,73,57,23,33,22,52,80,61,11,55,78,54,48,43,1,18,9,31,42,75,6,58,8,36,27,45,2,38,83,77,16,12,81,51,4,76,63,68,24,67,3,59,10,46,84,44,64,56,34,49,19,53,32,14,41,39,26,47,62,40,21,15,70,65,79,28,29,30,20,37,25,74,71,50,5,60,17,13,35,

14: 76,9,28,74,66,31,22,54,44,21,12,29,51,4,58,60,30,59,34,45,36,64,32,18,41,27,2,72,77,26,35,25,16,83,33,37,1,15,24,84,67,61,53,71,5,75,19,49,8,81,38,50,20,13,6,10,3,70,17,65,42,39,55,79,68,43,7,69,52,48,23,73,80,57,63,47,78,11,62,46,82,56,40,14,

15: 84,18,2,50,79,10,74,25,39,78,58,37,65,48,52,47,43,15,1,60,44,59,45,30,17,72,12,73,70,16,69,53,66,22,57,77,32,56,29,68,33,41,3,20,14,38,40,36,83,27,8,6,71,7,63,24,76,80,28,34,55,67,62,35,9,11,23,19,51,42,46,13,4,31,82,81,61,75,26,54,64,5,21,49,

16: 76,43,83,67,74,42,75,48,32,12,39,57,82,58,63,9,19,38,28,68,5,49,37,7,6,36,16,52,8,65,60,14,70,13,23,26,15,64,30,21,46,77,71,29,4,20,47,24,62,27,69,79,25,72,22,55,81,1,73,66,35,17,11,80,61,50,2,84,18,31,3,33,10,44,40,51,41,53,45,54,34,78,59,56,

17: 68,71,48,54,70,2,18,31,44,55,84,39,8,35,67,47,7,17,77,53,28,25,65,1,11,57,50,76,30,14,33,81,12,58,66,45,43,37,36,3,75,63,42,56,23,40,9,79,16,59,32,21,46,24,74,19,29,80,22,15,20,69,34,10,13,5,82,61,26,41,62,4,83,64,72,38,6,78,60,52,49,73,51,27,

18: 77,60,24,37,34,39,45,75,67,2,41,14,48,31,44,17,30,63,69,16,18,8,25,70,84,68,59,20,79,50,11,42,19,23,62,6,83,26,1,61,10,78,36,29,35,53,74,52,76,15,27,7,54,22,4,49,3,71,65,28,5,66,82,9,46,32,72,81,51,80,40,33,64,13,58,38,21,56,57,47,12,55,43,73,

